shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalMotVariables2.MotExtAmplitudeCompressed,LocalVariables.ScanID5,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.DMDModulationFrequency,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.IsRoundTripReloading,LocalVariables.ShotTypeID,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.NematicLatticeModulationFrequency,LocalVariables.ScanID4,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.XbarFrequency,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.UnloadLatticeRampTime,LocalVariables.DMDID,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,LocalVariables.DMDID2,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ScanID3,LocalVariables.ScanID2,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning
479,479,2025/10/19 23:13:42,590.0,0.03,b'251016_dmd0_iterative_compensation.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,119.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,2.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,527000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
480,480,2025/10/19 23:13:59,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,0.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
481,481,2025/10/19 23:14:15,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,1.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
482,482,2025/10/19 23:14:32,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,2.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
483,483,2025/10/19 23:14:48,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,3.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
484,484,2025/10/19 23:15:05,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,4.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
485,485,2025/10/19 23:15:21,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,5.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
486,486,2025/10/19 23:15:37,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,6.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
487,487,2025/10/19 23:15:54,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,7.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
488,488,2025/10/19 23:16:11,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,8.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
489,489,2025/10/19 23:16:27,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,9.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
490,490,2025/10/19 23:16:44,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_8p.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,10.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
491,491,2025/10/19 23:17:00,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_8p.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,11.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
492,492,2025/10/19 23:17:17,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_10n.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,12.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
493,493,2025/10/19 23:17:33,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_10n.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,13.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
494,494,2025/10/19 23:17:50,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_10p.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,14.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
495,495,2025/10/19 23:18:06,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_10p.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,15.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
496,496,2025/10/19 23:18:22,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_12n.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,16.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
497,497,2025/10/19 23:18:39,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_12n.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,17.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
498,498,2025/10/19 23:18:55,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_12p.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,18.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
499,499,2025/10/19 23:19:12,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_12p.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,19.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
500,500,2025/10/19 23:19:28,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_16n.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,20.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
501,501,2025/10/19 23:19:45,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_16n.pkl',0.005,610.0,-1.4999999999999999e-05,0.78,0.0,606800000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,1010900000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,21.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.04,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,1088300000.0,0.03,0.0,0.03,550.0,0.0225,1.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,9.999999999999999e-06,0.3,0.0,9.999999999999999e-06,0.7,0.48,0.02,766000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,83506780.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
502,502,2025/10/19 23:20:01,590.0,0.03,b'251016_dmd0_iterative_compensation_pinning_16p.pkl',0.005,500.0,-1.4999999999999999e-05,0.78,0.0,450000000.0,2.9999999999999997e-05,0.975,0.018000000000000002,0,200.0,854000000.0,0.0,0.032,1.5,0.0,93.0,100000.0,0.00025,0,22.0,0.1,0.1,0.035,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',200.0,0.0,0.001,0.02,0.0,0.0,10.0,0.03,1.3,0.2,0.0,0.03,0.3,773000000.0,0,0.174746,2.5,0.0,932600000.0,0.03,0.0,0.03,550.0,0.0225,0.0,0.05,0.0225,0,0,0.01,0.0,0,0.0225,0.014,0.0,4.9999999999999996e-06,0.3,0.0,9.999999999999999e-06,0.0,0.48,0.02,300000000.0,0.0,-6000000.0,0.007,0.0035,0.0,0.875,0.0,228200000.0,0.0,0.0,0.1634945,0.01125,1.0,620000000.0
