shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,LocalVariables.ScanID5,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.IsNematicLatticeModulation,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.ShotTypeID,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,LocalVariables.XbarFrequency,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ScanID3,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.UnloadLatticeYPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.DMDModulationFrequency,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,LocalVariables.ScanID2,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.isUnloadReloadBI,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.FinalStateGradientCurrent
165,165,2025/10/05 07:45:34,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,45.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_12n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
166,166,2025/10/05 07:45:51,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,46.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
167,167,2025/10/05 07:46:06,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,47.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
168,168,2025/10/05 07:46:22,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,48.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_16n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
169,169,2025/10/05 07:46:38,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,49.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_16n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
170,170,2025/10/05 07:46:54,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,50.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_16p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
171,171,2025/10/05 07:47:10,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,51.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_16p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
172,172,2025/10/05 07:47:26,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,52.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
173,173,2025/10/05 07:47:41,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,53.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
174,174,2025/10/05 07:47:58,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,54.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
175,175,2025/10/05 07:48:13,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,55.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
176,176,2025/10/05 07:48:29,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,56.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
177,177,2025/10/05 07:48:45,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,57.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
178,178,2025/10/05 07:49:01,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,58.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
179,179,2025/10/05 07:49:17,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,59.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
180,180,2025/10/05 07:49:33,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,60.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
181,181,2025/10/05 07:49:48,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,60.99999999999999,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
182,182,2025/10/05 07:50:05,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,62.00000000000001,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
183,183,2025/10/05 07:50:20,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,63.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
184,184,2025/10/05 07:50:36,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,64.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
185,185,2025/10/05 07:50:52,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,65.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
186,186,2025/10/05 07:51:08,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,66.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
187,187,2025/10/05 07:51:24,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,67.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
188,188,2025/10/05 07:51:40,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,68.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_10n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
